"","Regioncode","Regiao","CT"
"1",2,"NE",14
"2",2,"NE",13.8
"3",2,"NE",14.1
"4",2,"NE",14.2
"5",2,"NE",14.1
"6",2,"NE",12.9
"7",2,"NE",14.1
"8",2,"NE",14.1
"9",2,"NE",14.4
"10",2,"NE",15
"11",2,"NE",14.5
"12",2,"NE",17
"13",2,"NE",17
"14",2,"NE",13
"15",2,"NE",17.7
"16",2,"NE",14
"17",2,"NE",14
"18",2,"NE",14
"19",2,"NE",14
"20",2,"NE",14
"21",2,"NE",14
"22",2,"NE",14
"23",2,"NE",14
"24",2,"NE",14
"25",2,"NE",14
"26",2,"NE",14
"27",2,"NE",14
"28",2,"NE",14
"29",2,"NE",15.5
"30",2,"NE",14
"31",2,"NE",14
"32",2,"NE",14
"33",2,"NE",14
"34",2,"NE",14
"35",2,"NE",14
"36",2,"NE",14
"37",2,"NE",14
"38",2,"NE",14
"39",2,"NE",14.5
"40",2,"NE",15.5
"41",2,"NE",14.5
"42",2,"NE",14.5
"43",2,"NE",14
"44",2,"NE",14
"45",2,"NE",14
"46",2,"NE",14
"47",2,"NE",14
"48",2,"NE",14
"49",2,"NE",14
"50",2,"NE",14
"51",2,"NE",14
"52",2,"NE",14
"53",2,"NE",14
"54",2,"NE",14
"55",2,"NE",12
"56",2,"NE",14
"57",2,"NE",14
"58",2,"NE",14
"59",2,"NE",14
"60",2,"NE",14
"61",2,"NE",14
"62",2,"NE",17.5
"63",2,"NE",18
"64",2,"NE",15.5
"65",2,"NE",16.5
"66",2,"NE",17
"67",2,"NE",15
"68",2,"NE",14
"69",2,"NE",18
"70",2,"NE",18
"71",2,"NE",20
"72",2,"NE",15
"73",2,"NE",15
"74",2,"NE",14
"75",2,"NE",16
"76",2,"NE",16
"77",2,"NE",16
"78",2,"NE",20
"79",2,"NE",20
"80",2,"NE",20
"81",2,"NE",17
"82",2,"NE",17
"83",2,"NE",17
"84",2,"NE",18
"85",2,"NE",18
"86",2,"NE",12
"87",2,"NE",13
"88",2,"NE",15
